Date/Time,Consumption (kW)
 12/20  02:00:00,37.88383577
 12/20  03:00:00,37.59893929
 12/20  04:00:00,37.48321036
 12/20  05:00:00,36.85067451
 12/20  06:00:00,36.92958582
 12/20  07:00:00,37.61658747
 12/20  08:00:00,38.1436098
 12/20  09:00:00,38.30718907
 12/20  10:00:00,36.09548797
 12/20  11:00:00,35.83923757
 12/20  12:00:00,33.42665738
 12/20  13:00:00,33.06869409
 12/20  14:00:00,32.82876039
 12/20  15:00:00,31.98798681
 12/20  16:00:00,31.16858832
 12/20  17:00:00,31.3286179
 12/20  18:00:00,32.05793946
 12/20  19:00:00,33.80878881
 12/20  20:00:00,30.80185655
 12/20  21:00:00,30.29731793
 12/20  22:00:00,29.02284939
 12/20  23:00:00,27.31199855
 12/20  24:00:00,25.36192407
 12/21  01:00:00,24.51231856
 12/21  02:00:00,23.43350475
 12/21  03:00:00,23.57296564
 12/21  04:00:00,22.89416417
 12/21  05:00:00,23.13152609
 12/21  06:00:00,22.64935824
 12/21  07:00:00,23.58657464
 12/21  08:00:00,26.9542732
 12/21  09:00:00,28.23779843
 12/21  10:00:00,26.72675379
 12/21  11:00:00,26.14649349
 12/21  12:00:00,26.69874391
 12/21  13:00:00,27.08420026
 12/21  14:00:00,27.23966619
 12/21  15:00:00,26.46487438
 12/21  16:00:00,27.95038558
 12/21  17:00:00,29.08033189
 12/21  18:00:00,30.0756711
 12/21  19:00:00,31.35776346
 12/21  20:00:00,31.27531396
 12/21  21:00:00,30.94913221
 12/21  22:00:00,30.43427612
 12/21  23:00:00,30.16231
 12/21  24:00:00,29.95491202
 12/22  01:00:00,30.4181988
 12/22  02:00:00,30.59858774
 12/22  03:00:00,31.03658384
 12/22  04:00:00,31.01521056
 12/22  05:00:00,30.44528002
 12/22  06:00:00,29.94122978
 12/22  07:00:00,30.57085612
 12/22  08:00:00,33.40787663
 12/22  09:00:00,30.03575745
 12/22  10:00:00,28.8637802
 12/22  11:00:00,29.2344618
 12/22  12:00:00,27.30697698
 12/22  13:00:00,26.23388266
 12/22  14:00:00,24.78972067
 12/22  15:00:00,23.66748511
 12/22  16:00:00,23.22968219
 12/22  17:00:00,26.0640729
 12/22  18:00:00,28.42925995
 12/22  19:00:00,27.71255504
 12/22  20:00:00,28.00089132
 12/22  21:00:00,27.30723185
 12/22  22:00:00,27.38571964
 12/22  23:00:00,27.9239097
 12/22  24:00:00,27.93031769
 12/23  01:00:00,26.71505568
 12/23  02:00:00,27.15148487
 12/23  03:00:00,26.87050119
 12/23  04:00:00,26.5135336
 12/23  05:00:00,26.75664955
 12/23  06:00:00,27.47125939
 12/23  07:00:00,29.65749325
 12/23  08:00:00,28.39466383
 12/23  09:00:00,27.6872209
 12/23  10:00:00,26.31893376
 12/23  11:00:00,25.40849629
 12/23  12:00:00,23.10049485
 12/23  13:00:00,21.48219939
 12/23  14:00:00,21.05159189
 12/23  15:00:00,21.78419575
 12/23  16:00:00,21.35043341
 12/23  17:00:00,23.39863354
 12/23  18:00:00,27.44720521
 12/23  19:00:00,26.81845434
 12/23  20:00:00,27.21534023
 12/23  21:00:00,27.50489314
 12/23  22:00:00,27.95370618
 12/23  23:00:00,27.57995564
 12/23  24:00:00,29.66713716
 12/24  01:00:00,30.28282433
 12/24  02:00:00,31.22762154
 12/24  03:00:00,32.34061744
 12/24  04:00:00,33.85834848
 12/24  05:00:00,34.3146359
 12/24  06:00:00,34.65728681
 12/24  07:00:00,35.44862837
 12/24  08:00:00,38.03350694
 12/24  09:00:00,32.6142163
 12/24  10:00:00,27.64079142
 12/24  11:00:00,26.85226739
 12/24  12:00:00,24.84335614
 12/24  13:00:00,23.19824401
 12/24  14:00:00,23.08879237
 12/24  15:00:00,25.00806818
 12/24  16:00:00,24.84089474
 12/24  17:00:00,27.13574159
 12/24  18:00:00,30.92986092
 12/24  19:00:00,29.74596127
 12/24  20:00:00,29.25741671
 12/24  21:00:00,29.40648212
 12/24  22:00:00,28.8136753
 12/24  23:00:00,27.50960225
 12/24  24:00:00,26.39961872
 12/25  01:00:00,28.32613624
 12/25  02:00:00,28.2127954
 12/25  03:00:00,29.01145229
 12/25  04:00:00,29.24832969
 12/25  05:00:00,29.15414119
 12/25  06:00:00,28.82757082
 12/25  07:00:00,28.64664695
 12/25  08:00:00,30.93793079
 12/25  09:00:00,28.56056534
 12/25  10:00:00,27.02276687
 12/25  11:00:00,28.28318094
 12/25  12:00:00,27.40690181
 12/25  13:00:00,24.87947769
 12/25  14:00:00,24.28613571
 12/25  15:00:00,27.02558374
 12/25  16:00:00,26.72808355
 12/25  17:00:00,29.79407547
 12/25  18:00:00,33.60126583
 12/25  19:00:00,31.0901197
 12/25  20:00:00,35.04858372
 12/25  21:00:00,33.35215774
 12/25  22:00:00,35.44869761
 12/25  23:00:00,35.31173903
 12/25  24:00:00,33.3105313
 12/26  01:00:00,32.51479376
 12/26  02:00:00,31.64099566
 12/26  03:00:00,30.8711079
 12/26  04:00:00,31.22631283
 12/26  05:00:00,30.75745401
 12/26  06:00:00,32.13646665
 12/26  07:00:00,32.5495647
 12/26  08:00:00,35.29553852
 12/26  09:00:00,33.11296611
 12/26  10:00:00,32.31347479
 12/26  11:00:00,33.31458059
 12/26  12:00:00,30.45486338
 12/26  13:00:00,28.62828747
 12/26  14:00:00,27.07128274
 12/26  15:00:00,27.73690216
 12/26  16:00:00,28.1528322
 12/26  17:00:00,29.99196706
 12/26  18:00:00,33.5741512
 12/26  19:00:00,33.44999003
 12/26  20:00:00,33.37054407
 12/26  21:00:00,33.66643362
 12/26  22:00:00,33.5089561
 12/26  23:00:00,33.00604696
 12/26  24:00:00,32.43548888
 12/27  01:00:00,32.03407041
 12/27  02:00:00,33.23422091
 12/27  03:00:00,34.11542932
 12/27  04:00:00,34.3624969
 12/27  05:00:00,34.64839984
 12/27  06:00:00,35.01556047
 12/27  07:00:00,35.56166589
 12/27  08:00:00,38.33053072
 12/27  09:00:00,35.62745614
 12/27  10:00:00,34.42974655
 12/27  11:00:00,35.53957576
 12/27  12:00:00,33.20819367
 12/27  13:00:00,30.41062031
 12/27  14:00:00,31.23758665
